reported_date,issue_id,issue_title,issue_description,car_id,car_component
2022_07_30,c8dd1234-f0b8-4fa0-a8cd-1c67338048e7,Malfunctioning Torque Converter,"The torque converter is not transferring power effectively, affecting transmission performance.",CAR-ID:9d826e7e,Transmission
2024_01_01,9be55399-c08c-4ac8-aa3b-49fa783ea819,Leaking Valve Cover Gasket,"The gasket is leaking oil, which can lead to engine damage if unchecked.",CAR-ID:e1eaa056,Engine
2021_02_22,b9c01d01-eb78-4c56-88d3-4829b46ca209,Dead Battery,The battery is unable to hold a charge or start the engine.,CAR-ID:79a20303,Battery
2023_08_01,a0cf30b1-6db0-443b-a6d4-fe982ed60703,Damaged CV Joints,"The CV joints are damaged, leading to clicking noises and potential failure while driving.",CAR-ID:c9edda16,Drivetrain
2021_10_29,6b33335d-eb8b-425d-815a-af745e0cdca3,Broken Motor Mounts,"Motor mounts are damaged, leading to excessive engine vibration and movement.",CAR-ID:8c47d167,Engine
2020_03_25,59f570a9-7be4-49a9-97b0-bd02b6ebeb22,Exhaust Smoke,"Excessive smoke is coming from the exhaust, indicating possible oil or fuel issues.",CAR-ID:b01dfb64,Exhaust System
2021_12_12,6aadd711-fde3-4980-8608-ef922529607e,Failing PCV Valve,"The positive crankcase ventilation (PCV) valve is not functioning, affecting emissions and engine performance.",CAR-ID:7d7d9fb6,Engine
2021_07_24,dc4a59aa-d34b-4385-83e1-7402c1b0db4c,Faulty Brake Booster,"The brake booster is not providing enough power assistance, making braking hard.",CAR-ID:7767d435,Brakes
2019_06_07,476e72d1-2105-4e4f-8a1c-dc03f3faf789,Damaged CV Joints,"The CV joints are damaged, leading to clicking noises and potential failure while driving.",CAR-ID:d9a10b57,Drivetrain
2022_03_25,f18eced6-4893-4f58-8201-ed61f4752225,Rust and Corrosion,"Parts of the car's body or undercarriage are rusting, which can lead to structural issues.",CAR-ID:9d04d94b,Body/Exterior
2022_09_11,51e1bd06-fe54-4e9e-abf1-51ef1f58df02,Faulty EGR Valve,"The exhaust gas recirculation (EGR) valve is not working properly, affecting emissions and engine performance.",CAR-ID:896d1980,Exhaust System
2022_01_21,94cc93f1-6d51-437c-ae4a-7c34562a38cb,Damaged CV Joints,"The CV joints are damaged, leading to clicking noises and potential failure while driving.",CAR-ID:6980d321,Drivetrain
2021_07_13,d75f134a-1327-4bac-b3f4-cf4c368f55aa,Failing Turbocharger,"The turbocharger is not boosting engine power as it should, possibly due to leaks or damage.",CAR-ID:c02de392,Engine
2020_04_23,10ba0e11-b6f7-4940-8c8d-f86c54b7f032,Leaking Coolant,"Coolant is leaking from the car, which could lead to overheating.",CAR-ID:66376e93,Cooling System
2020_12_16,a1058860-847e-49a2-88c6-a3003e3aa269,Damaged Flywheel,"The flywheel is cracked or damaged, affecting clutch operation and engine balance.",CAR-ID:df82e012,Engine
2021_08_09,001b720e-0def-4ea3-979d-39408c8b8f60,Failing Differential,"The differential is making noise or not functioning properly, affecting handling.",CAR-ID:d9a10b57,Drivetrain
2021_04_27,4d7cf34e-3490-403a-8d73-1ae28a780457,Faulty Fuel Injector,"A fuel injector is not delivering fuel properly, affecting engine performance.",CAR-ID:25976627,Fuel System
2019_04_19,974f326a-d06b-4933-a94c-b1ab9dfb84a1,Faulty Coolant Temperature Sensor,"The sensor is giving inaccurate readings, affecting engine temperature regulation.",CAR-ID:2c4d248c,Cooling System
2020_04_30,ca62e8ce-23a6-4d85-8b98-c214fc2023e0,Damaged CV Joints,"The CV joints are damaged, leading to clicking noises and potential failure while driving.",CAR-ID:0c31330b,Drivetrain
2021_04_26,1fe11a7e-e810-4bf2-943b-62991e80c04a,Power Window Failure,One or more power windows are not opening or closing properly.,CAR-ID:d3898173,Electrical System
2020_11_17,f3442419-999b-4c88-b1c4-ae63e3998565,Defective Airbags,The airbags may not deploy in an accident or have deployed without cause.,CAR-ID:62d14ffe,Safety System
2023_02_03,48bce29b-91dc-47f1-9b68-10b7d8fa3a2a,Worn Out Engine Bearings,"Engine bearings are worn, leading to engine noise and potential failure.",CAR-ID:00213573,Engine
2023_06_20,1e26a50e-848b-4221-bcd9-62131d6955b2,Worn Spark Plug Wires,"Spark plug wires are worn or damaged, causing misfires and engine performance issues.",CAR-ID:8d6cdfdf,Ignition System
2021_03_06,7c46f96a-a07d-44ac-8bc0-cebd1d511f65,Steering Wheel Vibration,"The steering wheel vibrates, especially at certain speeds or when braking.",CAR-ID:9a05c9e6,Steering System
2022_08_20,a09b01fb-ea28-41b6-93a7-22d5522325b3,Failing Air Intake Hose,"The air intake hose is cracked or loose, leading to engine performance issues.",CAR-ID:37c300a1,Engine
2020_05_13,df013539-43ab-4165-b1cb-d7bc983bbb23,Worn Out Distributor Cap,"The distributor cap is worn or damaged, causing ignition issues.",CAR-ID:ab60f69a,Ignition System
2023_10_12,e3f45bf4-23ca-43c1-b4b7-e38fe03709b3,Worn Suspension Components,Suspension parts like shocks or struts are worn and need replacement.,CAR-ID:89732109,Suspension
2022_08_30,230f183e-0c7a-499a-9005-5516f45ff441,Failing Alternator Diode,"A diode in the alternator is failing, causing battery drain and electrical issues.",CAR-ID:f0b6e2c9,Electrical System
2020_05_21,b0171ba0-db15-4579-83b6-86c505734f41,Failing Oil Pressure Sensor,"The sensor is giving inaccurate oil pressure readings, which can lead to engine damage.",CAR-ID:63077cf5,Engine
2022_02_02,76b1a2f2-26dc-43e7-9f6b-82fd08657c26,Damaged Sway Bar Links,"Sway bar links are damaged, affecting vehicle stability and handling.",CAR-ID:e6aaeda3,Suspension
2019_06_18,7e7b718a-9252-4bb5-8fbd-5c05d4180e0d,Malfunctioning Gearbox Position Sensor,"The sensor is not detecting the correct gear position, leading to shifting issues.",CAR-ID:faf9cd05,Transmission
2023_08_24,2476f23a-2d60-46ad-9268-493e241139f9,Failing Hydraulic Lifters,"Hydraulic lifters are worn or failing, causing engine noise and performance issues.",CAR-ID:7501e1a7,Engine
2022_02_07,6f7627d1-52d4-47f2-acf9-c154fcec7253,Leaking Power Steering Fluid,"Power steering fluid is leaking, leading to difficult steering.",CAR-ID:c5ce4ea2,Steering System
2020_01_25,328b59b3-dffa-43ef-9873-2e69a4990abb,Failing Drive Belt Tensioner,"The tensioner is not maintaining proper belt tension, leading to slippage and noise.",CAR-ID:d2f8a1ff,Engine Belts
2021_11_09,63b9573a-560a-4e6f-8d03-52d7ec5e8042,Leaking Valve Cover Gasket,"The gasket is leaking oil, which can lead to engine damage if unchecked.",CAR-ID:c686edef,Engine
2023_11_21,85dbf146-6a99-490d-be11-cb9717b0103b,Damaged Oxygen Sensors,"Oxygen sensors are damaged or failing, leading to poor fuel economy and emissions.",CAR-ID:b16c44f6,Exhaust System
2022_06_04,d05b47ba-e662-40f7-b71a-f681b12eb5b8,Faulty Brake Booster,"The brake booster is not providing enough power assistance, making braking hard.",CAR-ID:528a43e8,Brakes
2022_12_10,12de7fdb-7d86-44e6-a23c-e1c25f677bcd,Malfunctioning Idle Control Valve,"The valve is not regulating the engine's idle speed properly, causing stalling or rough idle.",CAR-ID:b9421afb,Engine
2022_05_31,61e17a77-5315-4f5e-928e-c44ca76b63b4,Leaking Shock Absorbers,"The shock absorbers are leaking fluid, reducing their effectiveness.",CAR-ID:c02de392,Suspension
2021_05_06,aaca4e44-9dfc-406d-ad7b-1730bd05460b,Faulty Knock Sensor,"The knock sensor is not detecting engine knock, which can lead to engine damage.",CAR-ID:48c6f9e6,Engine
2023_01_18,78fb4e5f-a460-461d-a673-668a9a53b00c,Stuck Brake Pads,"Brake pads are not releasing from the disc fully, causing drag and wear.",CAR-ID:2c9fd44f,Brakes
2019_06_07,e700a35c-a932-469f-92be-b4f1d7789dcf,Malfunctioning Fuel Level Sensor,The sensor is giving inaccurate fuel level readings to the gauge.,CAR-ID:8e5115cc,Fuel System
2019_04_28,8560e180-db4a-44f0-ad3a-397461ec3c39,Warped Brake Rotors,"The brake rotors are uneven, causing vibration when braking.",CAR-ID:23e88fa4,Brakes
2023_12_15,c28d5969-2224-4f05-81fb-125bb2d0df6b,Failing Hydraulic Lifters,"Hydraulic lifters are worn or failing, causing engine noise and performance issues.",CAR-ID:b748898d,Engine
2021_12_04,8a762b4b-f5ae-40ad-bf36-323621b53742,Failing Oil Pressure Sensor,"The sensor is giving inaccurate oil pressure readings, which can lead to engine damage.",CAR-ID:14861aee,Engine
2023_08_22,cae2b847-172a-43cb-ab97-7b10e9dfbf2a,Malfunctioning Torque Converter,"The torque converter is not transferring power effectively, affecting transmission performance.",CAR-ID:c475f5a6,Transmission
2021_11_07,1728a8aa-5e85-4912-b31b-4d4bdda4b734,Faulty Wheel Speed Sensor,"A wheel speed sensor is not working, potentially affecting ABS and traction control.",CAR-ID:08b24a56,Brakes
2023_03_05,3815c081-be65-4765-a517-e2b909a31731,Worn Out Timing Chain,"The timing chain is stretched or damaged, affecting engine timing and performance.",CAR-ID:3f5937e5,Engine
2020_01_17,3a991dcc-de92-45ec-b6b3-74e978df8205,Warped Brake Rotors,"The brake rotors are uneven, causing vibration when braking.",CAR-ID:5a8ba5b4,Brakes
2022_02_06,11a38cf8-3c6b-4791-b4a4-8911399292ea,Worn Suspension Components,Suspension parts like shocks or struts are worn and need replacement.,CAR-ID:cd0768a5,Suspension
2021_11_14,3a9d2e0e-e324-4742-bd2d-d52efbfd12b6,Failing Windshield Washer Pump,"The pump is not supplying fluid to the windshield, impairing visibility.",CAR-ID:579846d7,Electrical System
2023_04_07,113aa72b-f99c-45c4-9b7c-0a5db730528e,Oil Leak,"Oil is leaking from the engine, potentially leading to low oil levels.",CAR-ID:8bda5e9f,Engine
2020_01_21,8d335507-8ee6-495f-805a-244a497fd8cc,Malfunctioning Dash Lights,The dashboard lights are flickering or not illuminating properly.,CAR-ID:56b02386,Electrical System
2020_03_22,38a2d30b-2e48-4ed1-b861-3f0183169278,Malfunctioning Differential Lock,"The differential lock is not engaging or disengaging properly, affecting traction.",CAR-ID:a2652272,Drivetrain
2022_01_27,14074c50-2227-4e92-86ac-3c81305b5c27,Malfunctioning Speedometer,The speedometer is giving inaccurate readings or not working at all.,CAR-ID:a0b1ec37,Electrical System
2024_01_07,abfe316c-2586-4c5a-a13a-c695dddab8ae,Deteriorating Hoses,Rubber hoses in the engine bay are cracking or leaking.,CAR-ID:7b77dc2e,Engine
2022_09_01,dc97a584-766f-4a79-a62e-4334a20e4555,Leaking Axle Seals,"Axle seals are leaking, leading to fluid loss and potential axle damage.",CAR-ID:82350c32,Drivetrain
2020_09_24,b743158f-0219-46b6-a533-6ad870aa84b6,Failing Wheel Bearing,"A wheel bearing is damaged, causing noise and vibration while driving.",CAR-ID:896d1980,Wheel Assembly
2024_01_09,3d3a6da9-a7fd-4d6d-844f-08ecaacb0cf7,Damaged Oxygen Sensors,"Oxygen sensors are damaged or failing, leading to poor fuel economy and emissions.",CAR-ID:c212cde1,Exhaust System
2021_07_13,e9436798-fa68-4a73-93cc-d96de9de4de5,Malfunctioning Fuel Cap Sensor,The sensor is indicating a loose or missing fuel cap when it's not.,CAR-ID:1423ffc4,Fuel System
2021_10_23,d09b75e2-16f8-45a3-a84a-75cd19997dd1,Broken Window Regulator,The mechanism that raises and lowers the window is broken.,CAR-ID:8e5115cc,Electrical System
2020_03_07,6f1913dc-2bfa-495b-8d89-d918e2953fd1,Worn Ball Joints,"Ball joints in the suspension system are worn, affecting handling and wheel alignment.",CAR-ID:65699dcd,Suspension
2021_08_03,0bf66bc4-ba76-466b-ba27-7bec5321e1d0,Leaking Power Steering Fluid,"Power steering fluid is leaking, leading to difficult steering.",CAR-ID:db6af331,Steering System
2020_01_10,274dd682-9eae-4971-abf5-d9edd383287e,Broken Window Regulator,The mechanism that raises and lowers the window is broken.,CAR-ID:cdf60d42,Electrical System
2024_01_26,3e4e2712-c644-4a57-a371-90bcadd197c7,Check Engine Light,"The check engine light is on, indicating a potential engine issue.",CAR-ID:43be19d7,Engine
2023_06_17,5650340d-cc35-455f-b139-6e0d9bc12e90,Faulty Thermostat,"The thermostat is stuck open or closed, affecting engine temperature regulation.",CAR-ID:bb792aeb,Cooling System
2021_01_19,f982a9a1-d067-4f37-a1d4-a86239abf8cd,Damaged Intake Manifold Gasket,"The gasket is leaking, causing air and vacuum leaks.",CAR-ID:db5a71e2,Engine
2020_10_19,56acec7e-593b-4416-934f-211a122e3475,Alternator Failure,The alternator is not charging the battery while the car is running.,CAR-ID:338a9b2d,Electrical System
2023_06_01,a36c470f-9bdd-460d-9f52-efa718f71ccc,Malfunctioning Traction Control System,"The traction control system is not functioning properly, affecting vehicle stability.",CAR-ID:2dce2ce4,Safety System
2021_09_23,f4f7a380-669d-41dd-aae7-ba1ad8eb4b0e,Failing Glow Plugs,"Glow plugs in diesel engines are failing, causing starting issues in cold weather.",CAR-ID:bf8b3470,Ignition System
2021_12_05,f0bd6c33-99b6-4f68-becc-012b413c6e0e,Leaking Axle Seals,"Axle seals are leaking, leading to fluid loss and potential axle damage.",CAR-ID:20081ecd,Drivetrain
2019_12_27,c66aa9a1-95e9-4afa-86f4-f6b856905c7f,Failing Wheel Hub Assembly,"The wheel hub assembly is damaged, leading to noise and potential wheel loss.",CAR-ID:d0f4320b,Wheel Assembly
2023_12_05,825acdf4-1ac9-468d-99e1-a0a2088a3f60,Malfunctioning Fuel Cap Sensor,The sensor is indicating a loose or missing fuel cap when it's not.,CAR-ID:c2592960,Fuel System
2023_08_11,f55d29e5-83dc-4c5a-b408-869561d51d48,Worn Out Engine Gaskets,"Various engine gaskets are worn, leading to leaks and potential engine damage.",CAR-ID:a291f33f,Engine
2021_02_25,ec6cb0b5-1464-4260-b4e0-82f908887b78,Failing Differential,"The differential is making noise or not functioning properly, affecting handling.",CAR-ID:661e2e76,Drivetrain
2020_07_26,e858fac1-826a-494f-b05a-384e9f6c069a,Failing Gear Selector,The gear selector is not engaging the correct gear or is stuck.,CAR-ID:7abae151,Transmission
2019_04_06,97db63f4-94d4-4830-b4fa-76af5813ad63,Inoperative Cruise Control,The cruise control system is not maintaining set speed or not engaging at all.,CAR-ID:00213573,Electrical System
2022_03_06,4297b41f-76cc-4528-82df-f3421615b5d0,Clogged Air Filter,"The air filter is dirty or clogged, reducing airflow to the engine.",CAR-ID:f40a54ec,Engine
2022_08_12,f9eba1e2-dcc7-42bc-b057-91e16526e376,Failing Airbag Control Module,"The control module is not functioning properly, which may affect airbag deployment.",CAR-ID:3c2754ed,Safety System
2022_02_01,eb5d75bc-1a6b-4eb7-87bc-e303d0e4b887,Broken Window Regulator,The mechanism that raises and lowers the window is broken.,CAR-ID:ccbca7d4,Electrical System
